id,date,time,competition,tournament,home_team,away_team,home_goals,away_goals,score,opponent,venue,result,played,stadium,stadium_fr,city,belgium_coach,referee,url
11820,2021-03-24,20:45,FIFA WC Qualifiers,Qatar - 2022,Belgium,Wales,3,1,3-1,Wales,home,W,true,Oud-Heverlee Stadion,Stade d'Oud-Heverlee,Leuven,Roberto Martinez,,https://www.rbfa.be/en/international-game/11820
11821,2021-03-27,20:45,FIFA WC Qualifiers,Qatar - 2022,Czech Republic,Belgium,1,1,1-1,Czech Republic,away,D,true,Sinobo Stadium (Eden Arena),Sinobo Stadium (Eden Arena),Praag,Roberto Martinez,,https://www.rbfa.be/en/international-game/11821
11822,2021-03-30,20:45,FIFA WC Qualifiers,Qatar - 2022,Belgium,Belarus,8,0,8-0,Belarus,home,W,true,Oud-Heverlee Stadion,Stade d'Oud-Heverlee,Leuven,Roberto Martinez,,https://www.rbfa.be/en/international-game/11822
12000,2021-06-03,20:45,International friendly,,Belgium,Greece,1,1,1-1,Greece,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/12000
11880,2021-06-06,20:45,International friendly,,Belgium,Croatia,1,0,1-0,Croatia,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/11880
11881,2021-06-12,21:00,UEFA European Championship,Euro - 2020,Belgium,Russia,3,0,3-0,Russia,home,W,true,Gazprom Arena,Stade de Saint-Pétersbourg,Sint-Petersburg,Roberto Martinez,,https://www.rbfa.be/en/international-game/11881
11883,2021-06-17,18:00,UEFA European Championship,Euro - 2020,Denmark,Belgium,1,2,1-2,Denmark,away,W,true,Parken Stadium,Stade Parken,Copenhagen,Roberto Martinez,,https://www.rbfa.be/en/international-game/11883
11882,2021-06-21,21:00,UEFA European Championship,Euro - 2020,Finland,Belgium,0,2,0-2,Finland,away,W,true,Gazprom Arena,Stade de Saint-Pétersbourg,Sint-Petersburg,Roberto Martinez,,https://www.rbfa.be/en/international-game/11882
12167,2021-06-27,21:00,UEFA European Championship,Euro - 2020,Belgium,Portugal,1,0,1-0,Portugal,home,W,true,La Cartuja,Stade de La Cartuja,Sevilla,Roberto Martinez,,https://www.rbfa.be/en/international-game/12167
12180,2021-07-02,21:00,UEFA European Championship,Euro - 2020,Belgium,Italy,1,2,1-2,Italy,home,L,true,Football Arena,Football Arena,Munich,Roberto Martinez,,https://www.rbfa.be/en/international-game/12180
11823,2021-09-02,20:45,FIFA WC Qualifiers,Qatar - 2022,Estonia,Belgium,2,5,2-5,Estonia,away,W,true,Le Coq Arena,Le Coq Arena,Talin,Roberto Martinez,,https://www.rbfa.be/en/international-game/11823
11824,2021-09-05,20:45,FIFA WC Qualifiers,Qatar - 2022,Belgium,Czech Republic,3,0,3-0,Czech Republic,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/11824
11825,2021-09-08,20:45,FIFA WC Qualifiers,Qatar - 2022,Belarus,Belgium,0,1,0-1,Belarus,away,W,true,Kazan Arena,Kazan Arena,Kazan,Roberto Martinez,,https://www.rbfa.be/en/international-game/11825
